time,id,inNum,outNum,transferNum
2016081700,0,20,50,34
2016081701,0,21,51,35
2016081702,0,22,52,36
2016081703,1,23,53,37
2016081704,1,24,54,38
2016081705,2,25,55,39
2016081706,3,26,56,40
2016081707,4,27,57,41
2016081708,5,28,58,42
2016081709,7,29,59,43
2016081710,6,30,60,44
2016081711,2,31,61,45
2016081712,3,32,62,46
2016081713,4,33,63,47
2016081714,5,34,64,48
2016081715,6,35,65,49
2016081716,7,36,66,50
2016081717,2,37,67,51
2016081718,3,38,68,52
2016081719,4,39,69,53
2016081720,5,40,70,54
2016081721,7,41,71,55
2016081722,6,42,72,56
2016081723,1,43,73,57
