time,longitude,latitude,count
2016081700,120.007869,31.830319,40
2016081701,120.007869,31.830319,37
2016081702,120.007869,31.830319,148
2016081703,120.007869,31.830319,173
2016081704,120.007869,31.830319,130
2016081705,120.007869,31.830319,110
2016081706,120.007869,31.830319,157
2016081707,120.007869,31.830319,101
2016081708,120.007869,31.830319,117
2016081709,120.007869,31.830319,180
2016081710,120.007869,31.830319,109
2016081711,120.007869,31.830319,33
2016081712,120.007869,31.830319,188
2016081713,120.007869,31.830319,130
2016081714,120.007869,31.830319,186
2016081715,120.007869,31.830319,181
2016081716,120.007869,31.830319,25
2016081717,120.007869,31.830319,181
2016081718,120.007869,31.830319,127
2016081719,120.007869,31.830319,64
2016081720,120.007869,31.830319,182
2016081721,120.007869,31.830319,152
2016081722,120.007869,31.830319,11
2016081723,120.007869,31.830319,156
2016081700,120.006373,31.82964,30
2016081701,120.006373,31.82964,114
2016081702,120.006373,31.82964,123
2016081703,120.006373,31.82964,47
2016081704,120.006373,31.82964,113
2016081705,120.006373,31.82964,153
2016081706,120.006373,31.82964,193
2016081707,120.006373,31.82964,70
2016081708,120.006373,31.82964,75
2016081709,120.006373,31.82964,161
2016081710,120.006373,31.82964,169
2016081711,120.006373,31.82964,118
2016081712,120.006373,31.82964,178
2016081713,120.006373,31.82964,193
2016081714,120.006373,31.82964,36
2016081715,120.006373,31.82964,54
2016081716,120.006373,31.82964,165
2016081717,120.006373,31.82964,191
2016081718,120.006373,31.82964,182
2016081719,120.006373,31.82964,153
2016081720,120.006373,31.82964,127
2016081721,120.006373,31.82964,95
2016081722,120.006373,31.82964,41
2016081723,120.006373,31.82964,186
2016081700,120.0033,31.829742,189
2016081701,120.003326,31.828914,103
2016081702,120.008027,31.832671,163
2016081703,120.011655,31.830308,196
2016081704,120.010532,31.830518,123
2016081705,120.010553,31.827291,20
2016081706,120.007374,31.831739,144
2016081707,120.00962,31.83376,79
2016081708,120.00796,31.830472,49
2016081709,120.008614,31.827755,133
2016081710,120.005643,31.831655,102
2016081711,120.005395,31.829978,22
2016081712,120.01182,31.832703,38
2016081713,120.006823,31.827657,135
2016081714,120.009345,31.831443,16
2016081715,120.007399,31.833102,138
2016081716,120.007231,31.832159,187
2016081717,120.006075,31.829716,12
2016081718,120.007761,31.83144,137
2016081719,120.003558,31.830017,72
2016081720,120.00615,31.827707,138
2016081721,120.008618,31.833054,51
2016081722,120.00436,31.830679,52
2016081723,120.011338,31.82725,108
2016081700,120.011363,31.831841,195
2016081701,120.00611,31.828593,83
2016081702,120.009529,31.833846,132
2016081703,120.005438,31.829578,141
2016081704,120.010921,31.833268,192
2016081705,120.003205,31.831887,194
2016081706,120.009844,31.827106,99
2016081707,120.008451,31.829561,37
2016081708,120.009295,31.827922,21
2016081709,120.008649,31.83022,36
2016081710,120.010799,31.831966,51
2016081711,120.011877,31.827023,166
2016081712,120.004045,31.831642,172
2016081713,120.00369,31.829672,161
2016081714,120.008779,31.834033,70
2016081715,120.007606,31.829545,132
2016081716,120.008715,31.828217,27
2016081717,120.007287,31.832725,88
2016081718,120.004891,31.829457,159
2016081719,120.010313,31.833003,168
2016081720,120.011363,31.828566,23
2016081721,120.003948,31.834117,133
2016081722,120.003123,31.833113,149
2016081723,120.011695,31.832918,147
2016081700,120.007869,31.830514,195
2016081701,120.009456,31.833187,79
2016081702,120.010991,31.831244,26
2016081703,120.008883,31.828131,154
2016081704,120.009699,31.827866,165
2016081705,120.007024,31.829238,56
2016081706,120.010273,31.832094,102
2016081707,120.004483,31.827397,118
2016081708,120.003041,31.82805,42
2016081709,120.00968,31.831774,138
2016081710,120.003918,31.831911,99
2016081711,120.004352,31.831673,180
2016081712,120.004337,31.830067,123
2016081713,120.011694,31.834224,34
2016081714,120.008289,31.834229,156
2016081715,120.010188,31.82851,138
2016081716,120.00313,31.830977,40
2016081717,120.003702,31.833777,49
2016081718,120.00615,31.831859,24
2016081719,120.006209,31.83157,83
2016081720,120.005168,31.829444,109
2016081721,120.004994,31.828334,152
2016081722,120.008969,31.832736,10
2016081723,120.003287,31.832488,138
2016081700,118.759375,31.907448,15
2016081701,118.768889,31.892941,160
2016081702,118.75171,31.919552,151
2016081703,118.753988,31.890914,108
2016081704,118.751635,31.892041,112
2016081705,118.738073,31.90293,135
2016081706,118.752992,31.900092,57
2016081707,118.753501,31.910412,173
2016081708,118.742264,31.901001,112
2016081709,118.743973,31.907647,163
2016081710,118.742014,31.915354,34
2016081711,118.755613,31.90199,161
2016081712,118.757725,31.910288,15
2016081713,118.750673,31.921198,80
2016081714,118.73602,31.887402,130
2016081715,118.761652,31.913379,193
2016081716,118.75587,31.898978,196
2016081717,118.746277,31.905415,130
2016081718,118.765191,31.89924,88
